Age,Monthly_Income,Investment_Experience,Risk_Tolerance,Investment_Horizon,Financial_Goal,Loss_Reaction,Risk_Profile
46,50000,5,2,350,education,panic-sell,Aggressive
50,75000,18,5,73,wealth,buy-more,Aggressive
58,20000,5,1,8,education,panic-sell,Conservative
54,50000,23,4,300,wealth,hold,Aggressive
52,50000,28,5,166,emergency,panic-sell,Moderate
37,100000,13,1,304,retirement,buy-more,Aggressive
56,75000,19,2,345,emergency,hold,Moderate
24,20000,7,1,30,education,panic-sell,Conservative
36,5000,11,5,82,emergency,hold,Conservative
55,100000,26,1,193,education,buy-more,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
23,50000,2,4,95,retirement,buy-more,Aggressive
27,150000,18,5,191,retirement,panic-sell,Aggressive
45,150000,16,5,288,wealth,hold,Aggressive
50,10000,24,1,354,retirement,hold,Moderate
56,75000,8,2,210,wealth,panic-sell,Moderate
54,200000,26,5,242,retirement,buy-more,Aggressive
46,5000,18,2,117,emergency,panic-sell,Conservative
47,75000,23,5,138,wealth,panic-sell,Aggressive
37,75000,2,4,147,wealth,buy-more,Aggressive
49,100000,0,2,117,emergency,hold,Moderate
32,35000,21,5,186,emergency,panic-sell,Conservative
31,200000,23,3,34,education,hold,Moderate
55,10000,26,5,242,education,buy-more,Conservative
59,50000,9,1,193,emergency,panic-sell,Conservative
55,200000,10,3,65,retirement,buy-more,Conservative
23,100000,5,1,161,wealth,buy-more,Aggressive
30,100000,6,3,232,wealth,hold,Aggressive
61,150000,3,3,213,education,buy-more,Moderate
32,100000,7,5,92,wealth,panic-sell,Aggressive
38,5000,0,4,192,emergency,panic-sell,Moderate
60,5000,22,2,285,retirement,hold,Moderate
42,10000,16,2,271,wealth,panic-sell,Conservative
62,10000,11,5,167,retirement,panic-sell,Moderate
33,5000,22,1,156,education,hold,Conservative
55,100000,26,1,193,education,buy-more,Conservative
34,200000,18,2,111,retirement,panic-sell,Moderate
58,20000,5,1,8,education,panic-sell,Conservative
59,50000,9,1,193,emergency,panic-sell,Conservative
27,150000,24,5,49,wealth,buy-more,Aggressive
24,20000,7,1,30,education,panic-sell,Conservative
23,50000,8,1,101,retirement,panic-sell,Conservative
61,150000,10,5,309,emergency,buy-more,Aggressive
55,150000,1,3,15,emergency,hold,Moderate
44,5000,4,1,116,emergency,panic-sell,Conservative
61,5000,3,2,307,retirement,buy-more,Moderate
32,35000,21,5,186,emergency,panic-sell,Conservative
28,100000,27,3,66,wealth,buy-more,Aggressive
58,10000,16,5,149,emergency,panic-sell,Moderate
53,5000,1,1,103,retirement,panic-sell,Conservative
30,100000,6,3,232,wealth,hold,Aggressive
31,20000,8,1,327,education,panic-sell,Aggressive
44,5000,19,4,153,education,panic-sell,Moderate
50,35000,1,4,57,wealth,hold,Moderate
40,35000,27,1,337,retirement,hold,Moderate
47,200000,16,3,176,wealth,buy-more,Aggressive
54,20000,18,4,277,retirement,hold,Moderate
59,10000,9,3,176,retirement,buy-more,Conservative
47,50000,22,3,60,wealth,buy-more,Aggressive
53,200000,17,3,337,wealth,buy-more,Aggressive
52,20000,3,1,212,wealth,buy-more,Moderate
40,100000,18,4,27,retirement,buy-more,Aggressive
54,10000,23,4,226,wealth,hold,Aggressive
56,10000,20,4,343,retirement,hold,Moderate
30,100000,6,3,232,wealth,hold,Aggressive
60,100000,11,2,278,wealth,hold,Aggressive
46,5000,18,2,117,emergency,panic-sell,Conservative
59,50000,9,1,193,emergency,panic-sell,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
43,10000,4,1,42,emergency,panic-sell,Conservative
55,10000,26,5,242,education,buy-more,Conservative
29,100000,16,3,244,emergency,panic-sell,Moderate
27,75000,9,1,142,retirement,buy-more,Moderate
23,50000,8,1,101,retirement,panic-sell,Conservative
51,200000,6,2,176,emergency,panic-sell,Moderate
57,5000,16,1,254,emergency,panic-sell,Conservative
33,5000,22,1,156,education,hold,Conservative
29,150000,20,5,210,education,buy-more,Aggressive
43,10000,4,1,42,emergency,panic-sell,Conservative
57,50000,9,3,276,retirement,buy-more,Conservative
38,100000,16,4,200,emergency,hold,Aggressive
22,5000,26,5,251,emergency,hold,Conservative
44,75000,13,2,263,wealth,hold,Aggressive
39,200000,11,5,96,wealth,hold,Aggressive
35,150000,7,4,95,retirement,hold,Conservative
44,100000,10,4,59,wealth,hold,Aggressive
49,5000,15,5,57,emergency,panic-sell,Conservative
58,50000,22,3,53,retirement,hold,Moderate
41,5000,5,4,213,emergency,panic-sell,Moderate
42,10000,16,2,271,wealth,panic-sell,Conservative
55,10000,26,5,242,education,buy-more,Conservative
60,200000,29,5,137,emergency,panic-sell,Moderate
61,35000,20,2,260,education,buy-more,Aggressive
31,10000,3,1,104,emergency,buy-more,Moderate
62,50000,4,1,320,emergency,panic-sell,Conservative
58,35000,17,3,27,retirement,panic-sell,Moderate
45,35000,24,2,111,retirement,buy-more,Moderate
35,150000,7,4,95,retirement,hold,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
39,10000,29,1,219,emergency,hold,Moderate
27,20000,27,4,25,emergency,buy-more,Moderate
46,75000,5,1,192,emergency,panic-sell,Conservative
54,75000,12,5,123,wealth,buy-more,Aggressive
24,150000,11,1,49,emergency,panic-sell,Moderate
55,200000,5,2,257,wealth,buy-more,Aggressive
35,200000,6,4,152,retirement,buy-more,Aggressive
30,35000,0,1,94,emergency,hold,Moderate
28,50000,21,1,298,wealth,buy-more,Aggressive
54,50000,22,4,244,wealth,buy-more,Aggressive
46,75000,14,3,259,wealth,buy-more,Aggressive
57,200000,13,3,332,wealth,hold,Aggressive
42,10000,16,2,271,wealth,panic-sell,Conservative
53,35000,2,4,293,wealth,panic-sell,Moderate
30,20000,21,4,280,retirement,buy-more,Aggressive
53,10000,27,5,339,emergency,buy-more,Moderate
49,5000,12,2,121,wealth,panic-sell,Moderate
40,50000,8,3,309,retirement,hold,Moderate
49,75000,5,2,99,emergency,hold,Moderate
24,20000,7,1,30,education,panic-sell,Conservative
55,200000,10,3,65,retirement,buy-more,Conservative
43,50000,26,3,143,wealth,hold,Aggressive
50,100000,5,5,190,retirement,hold,Aggressive
61,5000,10,4,291,education,panic-sell,Moderate
24,200000,12,4,71,wealth,panic-sell,Aggressive
43,5000,19,2,189,emergency,buy-more,Moderate
55,200000,10,3,65,retirement,buy-more,Conservative
63,50000,0,4,132,wealth,buy-more,Aggressive
48,20000,13,3,34,emergency,panic-sell,Conservative
34,35000,5,5,61,emergency,hold,Moderate
33,20000,8,2,155,retirement,buy-more,Moderate
31,5000,7,5,24,emergency,hold,Moderate
33,5000,22,1,156,education,hold,Conservative
45,150000,22,2,345,education,buy-more,Moderate
58,75000,20,1,126,emergency,hold,Moderate
45,10000,27,1,27,emergency,panic-sell,Conservative
44,75000,10,1,100,emergency,panic-sell,Conservative
24,20000,7,1,30,education,panic-sell,Conservative
53,5000,1,1,103,retirement,panic-sell,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
59,35000,17,2,232,education,hold,Moderate
22,100000,28,1,213,wealth,buy-more,Aggressive
51,10000,18,3,69,emergency,buy-more,Moderate
25,5000,25,1,127,wealth,panic-sell,Moderate
57,5000,16,1,254,emergency,panic-sell,Conservative
44,50000,18,1,68,education,buy-more,Moderate
48,20000,13,3,34,emergency,panic-sell,Conservative
43,10000,4,1,42,emergency,panic-sell,Conservative
28,150000,23,5,50,wealth,hold,Aggressive
49,5000,15,5,57,emergency,panic-sell,Conservative
22,10000,13,1,14,emergency,panic-sell,Conservative
61,200000,21,1,151,education,panic-sell,Moderate
24,75000,2,5,266,wealth,buy-more,Aggressive
39,200000,11,5,96,wealth,hold,Aggressive
59,50000,9,1,193,emergency,panic-sell,Conservative
57,10000,17,3,90,emergency,hold,Moderate
55,10000,26,5,242,education,buy-more,Conservative
60,75000,3,1,137,education,panic-sell,Conservative
23,150000,2,2,205,education,panic-sell,Moderate
32,200000,22,5,44,emergency,hold,Aggressive
42,150000,7,1,156,retirement,buy-more,Moderate
56,75000,13,5,152,education,hold,Aggressive
49,150000,15,4,195,retirement,panic-sell,Conservative
49,150000,15,4,195,retirement,panic-sell,Conservative
54,50000,19,4,252,retirement,buy-more,Aggressive
62,200000,14,4,259,retirement,panic-sell,Moderate
55,100000,26,1,193,education,buy-more,Conservative
24,50000,27,1,193,education,buy-more,Moderate
55,100000,26,1,193,education,buy-more,Conservative
35,150000,17,2,80,retirement,buy-more,Aggressive
45,10000,27,1,27,emergency,panic-sell,Conservative
60,150000,3,1,168,emergency,buy-more,Moderate
54,20000,4,4,287,education,panic-sell,Moderate
46,150000,28,1,14,education,panic-sell,Moderate
36,10000,6,2,290,retirement,buy-more,Moderate
49,20000,2,2,235,education,panic-sell,Conservative
58,200000,4,3,190,emergency,hold,Moderate
58,20000,5,1,8,education,panic-sell,Conservative
36,5000,2,1,27,retirement,panic-sell,Conservative
25,5000,28,3,95,emergency,hold,Moderate
37,150000,24,5,215,wealth,buy-more,Aggressive
43,5000,27,5,247,retirement,hold,Aggressive
36,5000,2,1,27,retirement,panic-sell,Conservative
59,10000,9,3,176,retirement,buy-more,Conservative
29,200000,18,1,205,wealth,hold,Aggressive
61,10000,14,5,139,emergency,panic-sell,Moderate
42,150000,4,4,82,emergency,hold,Conservative
52,10000,16,1,16,emergency,panic-sell,Conservative
42,150000,4,4,82,emergency,hold,Conservative
57,5000,16,1,254,emergency,panic-sell,Conservative
35,100000,14,5,241,education,panic-sell,Aggressive
55,100000,26,1,193,education,buy-more,Conservative
55,10000,26,5,242,education,buy-more,Conservative
27,5000,9,5,245,retirement,hold,Aggressive
54,20000,22,4,45,education,buy-more,Moderate
33,35000,27,4,351,wealth,panic-sell,Aggressive
40,10000,23,3,295,wealth,hold,Aggressive
46,75000,5,1,192,emergency,panic-sell,Conservative
43,150000,22,1,331,retirement,panic-sell,Moderate
43,75000,26,1,176,retirement,buy-more,Moderate
26,20000,3,5,115,retirement,hold,Moderate
43,5000,27,4,101,wealth,hold,Aggressive
60,150000,27,3,185,education,panic-sell,Aggressive
62,35000,27,4,115,wealth,hold,Aggressive
44,150000,18,4,7,wealth,hold,Aggressive
53,5000,1,1,103,retirement,panic-sell,Conservative
44,150000,18,4,7,wealth,hold,Aggressive
22,20000,22,3,101,wealth,panic-sell,Moderate
50,10000,17,4,227,retirement,panic-sell,Conservative
37,35000,12,2,111,wealth,buy-more,Aggressive
54,50000,19,4,349,wealth,buy-more,Aggressive
41,10000,27,5,72,education,hold,Moderate
55,100000,26,1,193,education,buy-more,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
37,10000,23,4,143,retirement,hold,Aggressive
48,200000,26,3,187,wealth,hold,Aggressive
57,200000,26,3,280,wealth,buy-more,Aggressive
41,100000,27,2,125,wealth,buy-more,Aggressive
45,10000,27,1,27,emergency,panic-sell,Conservative
31,10000,3,5,248,education,buy-more,Moderate
29,20000,3,1,202,emergency,panic-sell,Conservative
32,20000,14,3,47,education,panic-sell,Moderate
49,75000,24,2,43,retirement,buy-more,Moderate
61,75000,8,1,351,education,buy-more,Conservative
45,150000,6,5,144,retirement,buy-more,Conservative
45,150000,26,3,21,education,buy-more,Moderate
22,150000,12,4,335,retirement,hold,Aggressive
48,20000,13,3,34,emergency,panic-sell,Conservative
44,75000,10,1,100,emergency,panic-sell,Conservative
31,75000,15,5,293,retirement,panic-sell,Aggressive
64,75000,22,3,238,emergency,panic-sell,Conservative
37,75000,2,4,147,wealth,buy-more,Aggressive
40,20000,13,1,244,education,buy-more,Moderate
61,10000,9,5,140,wealth,buy-more,Aggressive
33,200000,13,5,146,emergency,panic-sell,Moderate
37,10000,27,5,234,retirement,panic-sell,Moderate
45,10000,5,1,206,education,panic-sell,Conservative
42,50000,20,2,137,retirement,buy-more,Aggressive
45,10000,22,1,128,retirement,buy-more,Moderate
37,200000,26,2,141,education,buy-more,Aggressive
30,20000,21,4,280,retirement,buy-more,Aggressive
49,100000,28,5,357,wealth,hold,Aggressive
50,75000,20,5,311,emergency,buy-more,Aggressive
27,150000,2,4,315,education,buy-more,Aggressive
39,75000,28,2,104,education,panic-sell,Conservative
29,100000,21,3,71,wealth,panic-sell,Aggressive
25,100000,4,1,216,wealth,panic-sell,Moderate
50,100000,1,1,20,wealth,panic-sell,Moderate
64,20000,17,4,267,emergency,hold,Moderate
59,50000,3,4,129,emergency,buy-more,Moderate
35,35000,16,5,51,retirement,buy-more,Aggressive
41,35000,12,3,333,retirement,buy-more,Aggressive
52,150000,1,3,47,wealth,buy-more,Moderate
62,35000,27,4,115,wealth,hold,Aggressive
33,5000,22,1,156,education,hold,Conservative
34,10000,4,5,274,education,buy-more,Aggressive
29,20000,23,5,333,emergency,buy-more,Aggressive
26,20000,17,4,338,wealth,panic-sell,Aggressive
49,35000,28,1,249,education,panic-sell,Conservative
56,10000,21,4,31,emergency,hold,Moderate
50,10000,17,4,227,retirement,panic-sell,Conservative
57,10000,10,3,148,retirement,panic-sell,Moderate
42,50000,13,3,305,retirement,hold,Aggressive
55,75000,24,4,154,education,panic-sell,Moderate
36,5000,2,1,27,retirement,panic-sell,Conservative
62,200000,26,2,107,education,buy-more,Moderate
59,200000,22,3,316,wealth,panic-sell,Moderate
22,100000,20,3,97,education,buy-more,Aggressive
29,20000,3,1,202,emergency,panic-sell,Conservative
40,200000,14,2,258,wealth,hold,Conservative
44,35000,2,4,139,education,panic-sell,Moderate
38,150000,7,5,341,wealth,buy-more,Aggressive
40,200000,14,2,258,wealth,hold,Conservative
54,35000,29,4,312,wealth,buy-more,Aggressive
59,50000,9,1,193,emergency,panic-sell,Conservative
55,20000,10,1,219,retirement,hold,Moderate
37,200000,2,1,70,emergency,panic-sell,Conservative
35,150000,7,4,95,retirement,hold,Conservative
23,200000,23,1,131,retirement,panic-sell,Moderate
45,20000,10,2,36,education,hold,Moderate
45,150000,6,5,144,retirement,buy-more,Conservative
48,10000,22,1,219,education,panic-sell,Moderate
27,35000,12,2,80,wealth,panic-sell,Moderate
53,150000,19,1,68,education,panic-sell,Moderate
36,5000,2,1,27,retirement,panic-sell,Conservative
35,150000,7,4,95,retirement,hold,Conservative
60,75000,3,1,137,education,panic-sell,Conservative
60,100000,16,2,121,emergency,buy-more,Moderate
34,10000,6,4,33,retirement,hold,Moderate
49,150000,3,2,329,retirement,hold,Moderate
50,5000,7,3,343,emergency,hold,Moderate
54,50000,19,4,349,wealth,buy-more,Aggressive
25,200000,29,5,77,emergency,hold,Aggressive
33,20000,20,1,321,retirement,panic-sell,Moderate
27,200000,6,5,243,retirement,hold,Aggressive
24,200000,25,4,337,emergency,buy-more,Aggressive
45,10000,20,2,104,education,panic-sell,Moderate
54,35000,29,4,312,wealth,buy-more,Aggressive
23,10000,1,2,63,wealth,hold,Moderate
49,35000,28,1,249,education,panic-sell,Conservative
45,150000,6,5,144,retirement,buy-more,Conservative
47,200000,6,2,250,retirement,buy-more,Moderate
44,10000,23,5,116,education,panic-sell,Moderate
36,5000,11,5,82,emergency,hold,Conservative
46,20000,13,1,75,emergency,buy-more,Moderate
49,10000,25,2,17,retirement,buy-more,Moderate
55,200000,10,3,65,retirement,buy-more,Conservative
40,100000,11,5,280,emergency,buy-more,Aggressive
35,200000,6,4,152,retirement,buy-more,Aggressive
24,35000,21,4,254,retirement,hold,Aggressive
42,150000,4,4,82,emergency,hold,Conservative
27,10000,22,5,163,emergency,panic-sell,Moderate
35,5000,5,1,44,education,buy-more,Moderate
32,35000,21,5,186,emergency,panic-sell,Conservative
26,50000,10,5,265,emergency,panic-sell,Moderate
58,20000,5,1,8,education,panic-sell,Conservative
38,150000,7,5,341,wealth,buy-more,Aggressive
44,35000,11,4,33,wealth,panic-sell,Moderate
55,35000,29,3,351,wealth,panic-sell,Moderate
32,100000,7,5,92,wealth,panic-sell,Aggressive
46,10000,11,5,13,retirement,buy-more,Conservative
29,20000,3,1,202,emergency,panic-sell,Conservative
38,10000,5,3,324,education,hold,Moderate
38,150000,7,5,341,wealth,buy-more,Aggressive
45,10000,27,1,27,emergency,panic-sell,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
22,35000,12,3,237,retirement,hold,Aggressive
29,150000,20,5,210,education,buy-more,Aggressive
27,20000,29,3,215,emergency,hold,Moderate
33,50000,18,2,190,retirement,hold,Moderate
61,35000,15,4,213,wealth,hold,Aggressive
42,10000,8,3,261,education,hold,Moderate
43,150000,25,4,250,wealth,panic-sell,Aggressive
35,150000,7,4,95,retirement,hold,Conservative
26,100000,8,3,91,retirement,hold,Aggressive
26,100000,8,3,91,retirement,hold,Aggressive
53,200000,17,3,337,wealth,buy-more,Aggressive
64,100000,21,1,211,emergency,hold,Moderate
22,35000,11,4,327,education,buy-more,Aggressive
38,150000,7,5,341,wealth,buy-more,Aggressive
45,50000,24,5,251,emergency,buy-more,Aggressive
27,200000,19,4,18,education,buy-more,Aggressive
50,10000,0,5,124,emergency,panic-sell,Moderate
23,35000,2,4,25,wealth,panic-sell,Moderate
50,100000,17,4,258,wealth,hold,Aggressive
44,200000,15,2,336,retirement,buy-more,Aggressive
59,10000,9,3,176,retirement,buy-more,Conservative
51,5000,17,5,108,retirement,hold,Moderate
29,75000,1,2,235,wealth,buy-more,Aggressive
52,10000,16,1,16,emergency,panic-sell,Conservative
30,5000,2,1,98,education,panic-sell,Conservative
47,5000,7,4,226,retirement,buy-more,Moderate
22,100000,7,2,286,education,buy-more,Aggressive
40,5000,14,5,109,education,buy-more,Aggressive
35,150000,7,4,95,retirement,hold,Conservative
35,75000,3,3,270,retirement,hold,Moderate
49,10000,15,2,47,wealth,panic-sell,Moderate
61,75000,8,1,351,education,buy-more,Conservative
31,75000,21,4,285,wealth,hold,Aggressive
51,5000,21,3,62,education,hold,Conservative
28,20000,18,4,321,wealth,hold,Aggressive
32,200000,2,3,279,wealth,buy-more,Aggressive
64,75000,22,3,238,emergency,panic-sell,Conservative
56,5000,11,2,81,emergency,buy-more,Moderate
61,35000,16,2,288,retirement,buy-more,Moderate
64,50000,1,2,338,wealth,hold,Moderate
32,35000,21,5,186,emergency,panic-sell,Conservative
36,5000,2,1,27,retirement,panic-sell,Conservative
36,50000,2,4,34,retirement,panic-sell,Moderate
31,100000,18,2,247,retirement,buy-more,Aggressive
40,200000,14,2,258,wealth,hold,Conservative
37,200000,26,2,141,education,buy-more,Aggressive
30,50000,14,3,83,emergency,panic-sell,Moderate
47,200000,18,2,94,retirement,panic-sell,Moderate
62,35000,4,4,220,emergency,hold,Moderate
44,75000,8,3,225,education,panic-sell,Moderate
40,100000,18,4,27,retirement,buy-more,Aggressive
60,50000,1,2,281,education,buy-more,Moderate
62,50000,4,1,320,emergency,panic-sell,Conservative
47,75000,23,5,138,wealth,panic-sell,Aggressive
59,20000,2,2,242,emergency,buy-more,Moderate
57,50000,9,3,276,retirement,buy-more,Conservative
22,10000,13,1,14,emergency,panic-sell,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
26,50000,22,1,211,wealth,hold,Aggressive
50,20000,0,1,293,education,buy-more,Aggressive
55,200000,10,3,65,retirement,buy-more,Conservative
36,35000,13,3,324,emergency,panic-sell,Moderate
54,150000,23,3,348,retirement,buy-more,Aggressive
57,100000,17,2,151,retirement,panic-sell,Moderate
33,100000,12,5,337,retirement,buy-more,Aggressive
47,35000,19,5,146,education,buy-more,Aggressive
37,10000,2,5,202,education,buy-more,Moderate
44,5000,4,1,116,emergency,panic-sell,Conservative
56,100000,25,1,186,retirement,buy-more,Moderate
56,150000,5,4,282,emergency,hold,Moderate
58,50000,7,2,68,wealth,panic-sell,Moderate
30,100000,0,5,135,wealth,hold,Aggressive
59,10000,25,4,151,wealth,buy-more,Aggressive
55,200000,13,1,276,wealth,panic-sell,Moderate
39,50000,10,4,23,emergency,panic-sell,Moderate
50,10000,17,4,227,retirement,panic-sell,Conservative
30,20000,21,4,280,retirement,buy-more,Aggressive
22,50000,15,3,345,retirement,buy-more,Aggressive
23,200000,13,3,124,wealth,buy-more,Aggressive
38,5000,2,3,180,education,hold,Moderate
51,5000,21,3,62,education,hold,Conservative
57,50000,9,3,276,retirement,buy-more,Conservative
39,75000,28,2,104,education,panic-sell,Conservative
55,10000,26,5,242,education,buy-more,Conservative
29,20000,3,1,202,emergency,panic-sell,Conservative
25,150000,7,4,110,retirement,buy-more,Aggressive
58,200000,29,1,82,emergency,buy-more,Moderate
47,100000,5,3,269,education,buy-more,Moderate
56,75000,22,2,232,education,buy-more,Moderate
54,20000,18,5,351,education,panic-sell,Aggressive
22,75000,21,1,88,education,hold,Moderate
22,10000,13,1,14,emergency,panic-sell,Conservative
62,10000,10,3,134,retirement,buy-more,Moderate
24,10000,23,3,206,retirement,panic-sell,Moderate
46,75000,5,1,192,emergency,panic-sell,Conservative
61,35000,25,4,249,emergency,hold,Conservative
23,200000,13,3,124,wealth,buy-more,Aggressive
50,75000,5,4,228,education,panic-sell,Moderate
62,50000,4,1,320,emergency,panic-sell,Conservative
41,10000,18,3,265,wealth,hold,Aggressive
57,100000,27,3,128,education,hold,Moderate
33,200000,26,1,65,retirement,hold,Moderate
46,5000,18,2,117,emergency,panic-sell,Conservative
24,200000,25,4,337,emergency,buy-more,Aggressive
57,50000,9,3,276,retirement,buy-more,Conservative
60,10000,20,4,130,emergency,buy-more,Moderate
22,5000,26,5,251,emergency,hold,Conservative
59,10000,9,3,176,retirement,buy-more,Conservative
29,150000,10,2,71,retirement,hold,Moderate
47,20000,22,5,77,wealth,buy-more,Aggressive
29,10000,22,3,342,retirement,hold,Aggressive
48,20000,13,3,34,emergency,panic-sell,Conservative
41,100000,27,2,125,wealth,buy-more,Aggressive
28,20000,7,1,320,retirement,hold,Moderate
48,150000,0,1,278,emergency,panic-sell,Conservative
49,150000,1,1,308,education,hold,Moderate
54,150000,29,5,177,retirement,buy-more,Aggressive
24,50000,21,5,189,retirement,panic-sell,Aggressive
54,150000,16,2,297,retirement,hold,Moderate
30,150000,22,4,116,wealth,panic-sell,Aggressive
58,35000,20,2,144,education,hold,Moderate
61,35000,25,4,249,emergency,hold,Conservative
43,10000,4,5,202,retirement,hold,Aggressive
48,150000,12,1,348,wealth,hold,Moderate
24,150000,5,1,63,emergency,buy-more,Moderate
49,35000,28,1,249,education,panic-sell,Conservative
37,10000,9,1,344,wealth,panic-sell,Moderate
22,100000,28,1,213,wealth,buy-more,Aggressive
49,200000,1,5,237,wealth,hold,Aggressive
60,100000,11,2,278,wealth,hold,Aggressive
29,150000,20,4,225,retirement,panic-sell,Aggressive
23,35000,13,4,154,education,hold,Aggressive
35,200000,6,4,152,retirement,buy-more,Aggressive
57,20000,28,5,99,emergency,buy-more,Moderate
26,75000,21,4,173,education,panic-sell,Moderate
29,50000,25,5,320,retirement,hold,Aggressive
48,5000,14,5,95,emergency,panic-sell,Moderate
49,5000,15,5,57,emergency,panic-sell,Conservative
43,200000,5,3,254,education,panic-sell,Moderate
54,20000,18,5,351,education,panic-sell,Aggressive
60,10000,7,2,153,wealth,hold,Moderate
48,20000,13,3,34,emergency,panic-sell,Conservative
61,35000,25,4,249,emergency,hold,Conservative
31,100000,18,2,247,retirement,buy-more,Aggressive
49,200000,1,5,237,wealth,hold,Aggressive
58,100000,1,5,232,emergency,panic-sell,Moderate
33,100000,8,2,321,education,hold,Moderate
44,20000,25,2,195,wealth,hold,Moderate
50,35000,26,5,160,retirement,buy-more,Aggressive
26,100000,21,4,117,education,hold,Aggressive
28,50000,27,3,6,emergency,buy-more,Moderate
37,200000,2,1,70,emergency,panic-sell,Conservative
26,150000,17,2,169,retirement,panic-sell,Moderate
22,5000,26,5,251,emergency,hold,Conservative
41,5000,5,1,21,wealth,buy-more,Moderate
59,10000,9,3,176,retirement,buy-more,Conservative
45,150000,6,5,144,retirement,buy-more,Conservative
54,5000,7,1,275,wealth,panic-sell,Moderate
24,35000,19,2,180,education,buy-more,Aggressive
52,10000,16,1,16,emergency,panic-sell,Conservative
37,200000,2,1,70,emergency,panic-sell,Conservative
64,75000,22,3,238,emergency,panic-sell,Conservative
49,35000,28,1,249,education,panic-sell,Conservative
55,10000,26,5,242,education,buy-more,Conservative
43,10000,4,1,42,emergency,panic-sell,Conservative
53,20000,26,4,221,wealth,hold,Aggressive
54,150000,23,3,348,retirement,buy-more,Aggressive
50,10000,17,4,227,retirement,panic-sell,Conservative
59,35000,15,2,199,wealth,panic-sell,Moderate
37,100000,15,3,219,education,panic-sell,Moderate
61,35000,20,2,260,education,buy-more,Aggressive
52,10000,16,1,16,emergency,panic-sell,Conservative
30,200000,25,3,274,wealth,hold,Aggressive
59,10000,9,3,176,retirement,buy-more,Conservative
45,50000,24,5,251,emergency,buy-more,Aggressive
23,50000,8,1,101,retirement,panic-sell,Conservative
44,5000,4,1,116,emergency,panic-sell,Conservative
57,50000,9,3,276,retirement,buy-more,Conservative
47,75000,23,5,138,wealth,panic-sell,Aggressive
49,20000,2,2,235,education,panic-sell,Conservative
26,150000,21,3,185,education,buy-more,Aggressive
40,35000,7,2,30,retirement,hold,Moderate
27,35000,16,3,35,retirement,buy-more,Aggressive
51,5000,21,3,62,education,hold,Conservative
42,35000,3,1,330,wealth,hold,Moderate
58,35000,24,3,252,wealth,hold,Aggressive
58,20000,5,1,8,education,panic-sell,Conservative
31,10000,8,4,35,emergency,hold,Moderate
26,100000,8,3,91,retirement,hold,Aggressive
40,50000,5,5,94,retirement,buy-more,Aggressive
52,10000,16,1,16,emergency,panic-sell,Conservative
29,5000,20,4,241,emergency,buy-more,Aggressive
46,10000,0,1,292,emergency,buy-more,Moderate
52,100000,12,1,322,retirement,hold,Moderate
25,100000,20,2,247,retirement,buy-more,Aggressive
55,10000,26,5,242,education,buy-more,Conservative
24,35000,17,2,348,retirement,buy-more,Aggressive
52,10000,16,1,16,emergency,panic-sell,Conservative
31,20000,29,3,299,education,hold,Moderate
35,20000,14,3,223,retirement,buy-more,Aggressive
29,20000,3,1,202,emergency,panic-sell,Conservative
51,5000,21,3,62,education,hold,Conservative
32,35000,22,5,204,education,buy-more,Aggressive
23,5000,24,3,273,emergency,buy-more,Moderate
22,100000,20,3,97,education,buy-more,Aggressive
54,150000,23,3,348,retirement,buy-more,Aggressive
35,150000,16,1,165,retirement,buy-more,Aggressive
36,75000,23,1,331,education,hold,Moderate
35,75000,6,5,184,wealth,buy-more,Aggressive
24,35000,21,4,254,retirement,hold,Aggressive
29,150000,20,4,225,retirement,panic-sell,Aggressive
49,100000,28,5,357,wealth,hold,Aggressive
42,150000,4,4,82,emergency,hold,Conservative
32,35000,7,5,115,retirement,panic-sell,Moderate
54,100000,0,2,31,emergency,hold,Moderate
55,100000,26,1,193,education,buy-more,Conservative
23,20000,14,2,252,wealth,hold,Aggressive
60,100000,11,2,278,wealth,hold,Aggressive
59,50000,9,1,193,emergency,panic-sell,Conservative
29,200000,18,1,205,wealth,hold,Aggressive
55,10000,16,1,337,wealth,buy-more,Moderate
53,200000,17,3,337,wealth,buy-more,Aggressive
46,50000,5,2,350,education,panic-sell,Aggressive
22,20000,14,2,218,wealth,buy-more,Aggressive
53,5000,1,1,103,retirement,panic-sell,Conservative
43,150000,12,4,49,retirement,hold,Aggressive
54,150000,29,5,177,retirement,buy-more,Aggressive
54,20000,18,5,351,education,panic-sell,Aggressive
50,200000,29,4,48,retirement,hold,Aggressive
62,50000,4,1,320,emergency,panic-sell,Conservative
35,150000,11,3,338,education,panic-sell,Moderate
24,50000,18,1,254,wealth,hold,Aggressive
51,75000,13,4,195,wealth,hold,Aggressive
53,5000,1,1,103,retirement,panic-sell,Conservative
53,5000,1,1,103,retirement,panic-sell,Conservative
56,10000,10,5,142,retirement,hold,Moderate
44,75000,10,1,100,emergency,panic-sell,Conservative
45,10000,27,1,27,emergency,panic-sell,Conservative
